,Claim Description,Coverage Code,Accident Source
245,IV ALLEGEDLY TBONED OV,AM,Sideswipe or lane change
246,"THE IV DROVE OUT OF THE ROAD, COLLIDED INTO AN EMBANKMENT AND     OVERTURNED. THE IV INCURRED DAMAGE TO THE P/S AND ROOF. THE IV    PASSENGER SUSTAINED A LOWER BACK INJURY.",AP,"Street, roadway, highway"
247,OPERATOR SIDESWIPED PARKED VEHICLE WHILE PICKING UP PASSENGER,AD,Sideswipe or lane change
248,"LARGE DIAMETER REBAR WALL UNDER CONSTRUCTION COLLAPSED, INJURING 5 SUBCONTRACTOR EMPLOYEES.",GB,Alleged Negligent Act
249,CLAIMANT ALLEGEDLY FELL WHEN STEPS TO THE GARAGED DETACHED FROM   THE WALL. CONSTRUCTION DEFECT ALLEGATION. TENDER RECEIVED FROM    LENNAR.,GB,Alleged Negligent Act
250,IV STRUCK A DEER CAUSING DAMAGES,AP,Struck animal or object
251,"WHILE SITTING AT A LIGHT , A LARGE CONCRETE TRUCK HIT OUR TRAILER.",AP,Our vehicle struck while parked
252,WATER DAMAGE LEAKING FROM ICEMAKING WATER LINE SINCE FIRST        DELIVERY AND SPOILAGE OF FOODS.,PB,e-Commerce
253,CLAIMANT ALLEGES HE WAS WALKING TOWARDS THE DOOR WHEN HE SLIPPED  AND FELL ON THE MOPPED FLOOR. THE CUSTOMER REPORTED NO INJURIES.,GB,Alleged Negligent Act
254,HE INFORMED ME THAT HE FELL AT THE STEPS OUTSIDE LEADING INTO THE HOTEL.,GB,Not Otherwise Classified
255,AS ANNE WAS ENTERING THE BUILDING SHE HAS HIT HER HEAD ON AN      EXTERNAL BEAM/SUPPORT BAR.,GB,Not Otherwise Classified
256,LADY IN A MOTORIZED CART RAN HER CART INTO THE BACK OF THE LEG-   HURTING HER LOWER RIGHT LEG. MEMBER WHO HIT HER GAVE US HER       INFORMATION: MEMBER DRIVING THE MOTORIZED CART NAME- MARY         MCCORMICK PHONE NUMBER- 4043879964 MEMBERSHIP NUMBER- 111849966003,GB,Alleged Negligent Act
257,STORE'S RENTAL TRAILER HAS BEEN RENTED AND NOT RETURNED.,RB,Not Otherwise Classified
258,"IV WAS BEING DETAILED WHEN A LARGE SCRATCH, AND SCRAPES WEREFOUND ON THE FRONT D/S HEADLIGHT, FRONT D/S BUMPER, AND FRONT D/S WHEEL WELL . IT IS NOT KNOWN HOW THIS INCIDENT OCCURRED. THERE WERE NO  INJURIES REPORTED.",AP,Sideswipe or lane change
259,"AT APPROXIMATELY 5:50 I WAS HEADING TOWARDS THE SHOP, I HAD JUST  LEFT THE JOB SITE 15 MINUTES PRIOR, I WAS TRYING TO CHANGE LANES  BUT MY RIGHT MIRROR WAS WOBBLING AROUND AND I COULDN'T SEE IF     THERE WAS CAR COMING, AS SOON AS I LOOKED BACK FORWARD IT WAS A   RED LIGHT AND THE CAR IN FRONT OF ME WAS COMPLETELY STOPPED, I DIDNOT HAVE TIME TO STOP AND TRIED TO SWERVE OUT OF THE WAY BUT HIT  THE RIGHT BACK SIDE OF THE THEIR VEHICLE.",AD,Struck vehicle in rear
260,GUEST FAINTED OUTSIDE OF DAIRY COOLER.,GB,Health Hazard
261,DURING AN INSPECTION TO ASSESS DAMAGES THE MAINTENANCE SUPERVISOR KAARYN POWELL ALERTED ME (SHAWN HASTINGS ) OF A FLOOD FORM A LEAK,GD,"Freezing of Plumbing, Heating, AC System"
262,"THE EE INSTALLED WALK BOARDS INSIDE THE CUSTOMER'S ATTIC DURING A SERVICE, AND UPON WALKING ON THE BOARDS, A RECESSED LIGHT WAS     PUSHED OUT THE CEILING. THE DRY WALL AROUND THE LIGHT IS NOW      CRACKED AND BROKEN .",GD,Alleged Negligent Act
263,CLAIMANT HAD POSSIBLE ALLERGIC REACTION TO FOOD.,PA,Food Product
264,"IVD WAS PULLING FORWARD TO BACK INTO A LOADING DOCK AND AS HE     PULLED FORWARD, HIS FRONT D/S HIT THE FRONT P/S BUMPER OF OV THAT WAS PARKED",AD,Struck parked vehicle
265,"DIARREA,NAUSEA,FAINT,SWEATHY",PA,Alleged contamination or spoilage
266,"CLAIMANT ALLEGES HE WAS INSIDE THE PLPP STRUCTURE CLIMBING UP AN  UNIDENTIFIED PIECE OF PLAY EQUIPMENT, FELL AND SUSTAINED A        LACERATION TO AN UNSPECIFIED AREA OF HIS FOREHEAD.",GB,Alleged Negligent Act
267,IV EXITING PARKING LOT TO MAKE LEFT HAND TURN AFTER MAKING A      DELIVERY AND STRUCK THE FRONT PASS SIDE FENDER/BUMPER OF THE CV,AB,Our vehicle turning left
268,"ESTES DRIVER WAS TRAVELING ON EXIT RAMP WHEN OTHER VEHICLE TRIED  TO PASS IN THE EMERGENCY LANE, REAR PASSENGER TIRE ON TRAILER HIT THE VEHICLE AS IT WAS TRYING TO PASS, CAUSING DAMAGE TO OUTER TIREAND RIM ON TRAILER, MULTIPLE DAMAGE TO THE OTHER VEHICLE",AD,Sideswipe or lane change
269,"WHILE PULLING TRACTOR OUT OF PARKING SPACE, MADE RIGHT TURN AND   REAR OF TRACTOR CLIPPED FRONT BUMPER OF CAR PARKED ADJACENT",AD,Struck parked vehicle
270,OTHER DRIVER LOST CONTROL HIT GUARDRAIL THEN BOUNCED BACK IN TO   TRAFFIC,AD,Sideswipe or lane change
271,"ALLEGATIONS OF BEING ASSAULTED, BEATEN AND BATTERED MULTIPLE TIMES",GB,Assault and/or abuse
272,MARY TROHA CLAIMED THAT SHE BIT AND ALMOST CHOKED ON A BARK-LIKE  OBJECT ON A VEGAN CHOCOLATE MOUSSE CAKE THAT SHE BOUGHT IN STORE  ON THE AFTERNOON OF MARCH 24TH.,PA,Alleged foreign object in product
273,"(AWC11 ACIORIORLAL SNEEZE IT NECESSARY) UNIT 1 WITH TOWED UNIT 2  TRAVELING ON IH10 WEST IN THE OUTSIDE LANE APPROACHING A BRIDGE,  UNIT 3 ALSO TRAVELING WEST ON IH10 IN THE INSIDE LANE, UNIT 1 IN  THE LEAD. DRIVER OF UNIT 3 STATED HE OBSERVED UNIT 1 CHANGE LANES AS UNIT 3 WAS PARALLEL WITH TOWED UNIT 2. UNIT 1 DRIVER STATED    UNIT 3 APPEARED TO BE SPEEDING AS HE ATTEMPTED TO CHANGE LANES.   DRIVER OF UNIT 3 ACCELERATED HIS SPEED TO AVOID A CRASH AS HE     APPROACHED A BRIDGE WITH UNIT 1 AND T",AD,Sideswipe or lane change
274,THERE WAS A HEAD ON COLLISION INVOLVING THE IV AND OV. THE OV     DRIVER WAS TAKEN TO THE HOSPITAL.,AP,Alleged Negligent Act
275,V1 REAR ENDED V2,AD,Struck vehicle in rear
276,THE IV DRIVING WHEN IT SIDESWIPED THE OV. THERE WERE INJURIES     REPORTED. THERE WAS DAMAGE TO THE OV.,AB,Sideswipe or lane change
277,OV WAS AT THE LIGHTS WHEN IV REAR ENDED OV,AD,Struck vehicle in rear
278,CRACKED WINDSHIELD THAT SPIDER CRACKED BOTH DIRECTIONS FROM MIDDLETOP.,GD,Road debris/road hazard
279,OBJECT HIT GLASS,AP,Windshield
280,:  GUEST TRIPPED AND FELL OVER UMBRELLA STAND SCREWS CAUSING          LACERATION TO LOWER LEFT LEG.,GB,Alleged improper maintenance - other
281,A VEHICLE RAN OFF THE ROAD AND STRUCK A EMPLOYEE'S VEHICLE THAT   WAS PARKED IN THE PARKING LOT.,RB,Not Otherwise Classified
282,NO INJURIESVEHICLE 1 WAS EXITING AT ELYSIAN FIELDS. THE VEHICLE   WAS STOPPED WHEN VEHICLE 2 SLAMMED INTO THE REAR OF VEHICLE 1.    THIS ACCIDENT OCCURRED ON 3/9/23.,AP,Our vehicle struck in rear
283,PASSENGER FALL DUE TO SUDDEN START OR STOP OF BUS CAUSES INJURIES.BUS REG:   SN67WXD,AB,"Sudden stop or start, injuring occupant"
284,IV WAS TRAVELING ON JACKSON STREET WHEN THE IV STRUCK A MAILBOX   KNOCKING IT OFF THE POST. THERE WERE NO INJURIES REPORTED OR      DAMAGE TO THE IV.,AD,Struck mailbox
285,OV AND IV INVOVLED IN MVA,AD,Sideswipe or lane change
286,"THE CUSTOMER WAS WALKING DOWN AISLE 6 WHEN THE CUSTOMER STEPPED ONA PIECE OF BROKEN CERAMIC CAUSING THE CUSTOMER TO FALL. THE       CUSTOMER SUSTAINED PAIN TO THE RIGHT ANKLE, WRIST, ELBOW, LEFT    WRIST AND LEFT KNEE.",GB,Alleged Negligent Act
287,LOCATION: 646 MATTHEWS NC CLAIMANT JADA MONTGOMERY (980) 425 5152 SLIPPED ON VOMIT,PM,Alleged Negligent Act
288,PHV  HIT PARKED TPV,AD,Insured Hit Parked TP
289,CLAIMANT DROVE OVER A POTHOLE CAUSING DAMAGE,GD,Pothole
290,NO INJURIES BUS 1074 WAS STOPPED AT THE CORNER OF HOLDRIDGE ROAD WAND WAS PREPARING TO TURN LEFT ONTO WAYZATA BLVD E. A CAR WAS     TURNING TIGHT ONTO HOLDRIDGE AND AS THE BUS DRIVER TURNED LEFT THECAR TURNED INTO THE BUS. CONNECTING AT THE DRIVER SIDE DUELS OF   THE BUS AND FRONT DRIVERS CORNER OF THE OTHER VEHICLE.,AD,Sideswipe or lane change
291,CLAIMANT SUFFERED PROPERTY DAMAGE DUE TO WATER INGRESS.,GD,Leak/Flood - Defective Maintenance
292,FUEL CONTAMINATION,GD,Alleged contamination or spoilage
293,PARKWAY C-2 SCHOOL DISTRICT - OUR DRIVER RAN OFF THE ROAD AND     SCRAPED A FIRE HYDRANT DAMAGING THE FRONT RIGHT WHEEL SIDE AND    SERVICE DOOR,AP,Struck animal or object
294,MEMBER MOVED CHAIR ON HER CARPET IN HER HOUSE AND IT STAINED THE  CARPET,GD,Alleged damage to property of others
295,"THE CALLER REPORTED THAT AN OV MADE A RIGHT TURN ONTO BORDENTOWN  RD FROM NEW FORD MILL RD AND THE OV DRIVER WAS LOOKING AT HIS CELLPHONE, AND STRUCK THE PECO UTILITY POLE ON THEINSURED PROPERTY,   BREAKING THE POLE AND THE TRANSFORMER, PULLING THE POWER LINES    DOWN. THE OV HAD MODERATE TRACTOR AND TRAILER DAMAGE.",RB,Alleged Negligent Act
296,CLAIMANT DROVE OVER POTHOLE CAUSING VEHICLE DAMAGE.,GD,Pothole
297,"TRIPPED OVER CURB ON ISLAND RIGHT BY PEDESTRIAN SLOW CROSSING     SIGN, HIT HER NOSE ON THE PAVEMENT",GB,Alleged Negligent Act
298,FATALITY WHEN DRIVER FAILED TO YIELD RIGHT OF WAY TO CORRIGAN     DRIVER WHO IS AN OWNER OPERATOR.,AB,Other vehicle turning right
299,REPORT PURPOSES ONLY. LA QUINTA INN & SUITES HILLSBORO LOC #195 CLMT: CAROLYN MEADEN CLAIMS TO HAVE FELL ON THE SIDEWALK   OUTSIDE O,GB,"Walk, path, sidewalk"
300,DRIVER SIDE MIRROR COVER RIPPED OFF BREAKING INTO TWO PIECES.     PASSENGER SIDE MIRROR COVER FULL OF SCRATCHES.,GD,Car Wash
301,DAMAGE TO 3RD PARTY VEHICLE,AD,Sideswipe or lane change
302,"ON APRIL 7, 2023 AT APPROXIMATELY 7:15 AM, SECURITY WAS ASKED TO SPEAK WITH THE GUEST WHO SLIPPED AND FELL IN THE LOWER LOBBY, FRONT",GB,Ground/floor
303,FIRE SPRINKLER LINE FROZE AND BURST IN THE ELEMENTARY BUILDING.,RB,"Freezing of Plumbing, Heating, AC System"
304,ALLEGATIONS OF CONSTRUCTION DEFECT,PB,Alleged damage to property of others
305,"ON TUESDAY 05/02/2023, I SECURITY PATROL OFFICER DAN EVANS        RECEIVED A CALL AT APPROXIMATELY 12:30 TO GO TO THE 80 INCH HOT   STRIP MILL FOR A DAMAGE REPORT FOR LIME DUST. WHEN I ARRIVED ON   SCENE AT APPROXIMATELY 12:34, THERE WERE FIVE DIFFERENT EMPLOYEES THAT WANTED A REPORT DONE ON THEIR CARS THE EMPLOYEES ARE AS      FOLLOWS.",GD,Alleged Negligent Act
306,GUEST CLAIMS HE SLIPPED IN ADA WALK IN SHOWER. HE REPORTED TO US  AFTER THE FACT UPON REQUESTING TOWELS.,GB,Alleged improper maintenance - other
307,SP DRIVER BACKING INTO CLAIMANT DRIVEWAY & BACKED INTO & DAMAGED  BASKETBALL HOOP. NO INJ/TOWS/POL,AD,Struck animal or object
308,GUEST GIRLFRIEND CALLED AND NEEDED A SODA ON EMERGENCY BECAUSE HER BOYFRIEND (MR. PRESTON) HAD FAINTED DUE TO BEING DIABETIC.,GB,Not Otherwise Classified
309,MEMBER PLUGGED IN THE LASKO HEATER AND SMELLED SMOKE AND THE SMELLOF BURNING.  SHE UNPLUGGED IT IMMEDIATELY,PB,DEFECTIVE PRODUCT
310,BACKING ALLEGEDLY STRUCK PEDESTRIAN,AB,"Struck pedestrian, bicycle"
311,SMALL PD CUSTOMER STATES THAT THE ENCLOSURE WAS DAMAGED OVER TIME DUE TO MANUALLY REMOVING THE CONTAINER IN AND OUT OF THE ENCLOSURE. THERE WERE NO INJURIES REPORTED.,GD,Struck dumpster enclosure
312,"SMALL PD IV WAS SERVICING A CAN IN THE FRONT OF THE PARKING       LOT.WHILE ROLLING FORWARD TO PLACE THE CAN DOWN, HE RAN OVER A    CONCRETE WHEEL STOP, CRACKING IT. IV WAS NOT DAMAGED. NO INJURIES WERE REPORTED.",AL,"Parking lot, driveway"
313,GUEST SLIPPED AND FELL BY THE HOST STAND.  SHE SAID SHE FELL ON   HER RIGHT SIDE AND HURT HER WRIST.  THERE IS NO CAMERA FOOTAGE FORTHIS FALL AND IT WAS RAINING THE DAY SHE FELL.,GB,Alleged Negligent Act
314,ON THE ABOVE DATE AND TIME WHILE WALKING FROM HER VEHICLE WHICH WAS PARKED IN THE HANDICAP PARKING  SPOT ON THE NORTH SIDE OF NEWPOR,PM,Ground/floor
315,"ON FRIDAY 11/4/22 GFL DRIVER WAS ATTEMPTING TO SERVICE A DUMPSTER AT 431 CRAWFORD ST IN PORTSMOUTH. AS HE PUT THE FORKS IN THE      SLEEVE AND LIFTED THE DUMPSTER A COUPLE FEET, HE NOTICED SOMETHINGSTICKING OUT OF THE SIDE DOOR. AT THAT TIME HE TILTED THE DUMPSTERTOWARDS THE BRICK WALL THAT IS BEHIND THE DUMPSTER. IT WAS AT THATTIME THE ENDS OF THE FORKS STRUCK THE BRICK WALL CAUSING IT TO    FALL OVER. THERE ARE NO BALLARDS BEHIND THE DUMPSTER.",AD,Struck animal or object
316,"THE IV WAS SOUTHBOUND IN BUMPER TO BUMPER TRAFFIC WHEN THE OV     ACCELERATED AND THEN BRAKED, CAUSING THE IV TO REAR END THE OV.",AB,Struck vehicle in rear
317,IV BACKED INTO PARKED LANDSCAPE TRAILER,AD,Backed into vehicle or object
318,THE CLAIMANTS VEHICLE WAS PARKED AND UNOCCUPIED WHEN STRUCK BY THEHMIS WHITE FORD F150 PICK UP.,AD,Struck parked vehicle
319,CLAIMANT DROVE OVER POTHOLE CAUSING VEHICLE DAMAGE.,GD,Pothole
320,THE IV WAS AT AN INTERSECTION WHEN IT PULLED DOWN WIRE CABLES. NO INJURIES WERE REPORTED.,AD,Struck/pulled down wires
321,THE CLAIMANT ALLEGES THEY RECEIVED A QUARTER POUNDER THAT WAS     UNDERCOOKED.  SHE BECAME ILL.,PA,Alleged Negligent Act
322,WATER AND DIRT DAMAGE TO CARPET AND BROKE KNOB FOR HOT WATER.     221101 029613,PB,e-Commerce
323,INSURED GOT OUT OF TRAILER AND WAS STUCK BETWEEN IV AND THE DOCK  WHEN SHE FELL BACKWARDS. SUSTAINED FRACTURE TO RIGHT HAND.,NS,Uneven Surface
324,**ECOMM (ON) VENDOR DRYER EXPLODED WHILE IN USE AND CAUSED DAMAGE TO HER PROPERTY AND CAUSED HER AN INJURY,PB,e-Commerce
325,CRACKED WINDSHIELD. HAVE ANOTHER TRUCK ALSO,GD,Road debris/road hazard
326,PER THE STATEMENT FROM THE TM AND THE POLICE REPORT FOR THE NON   REPORTABLE CRASH. TM WAS TRAVELING EAST ON ROUTE 30 NEAR MILE     MARKER 267.2 AND A FEMALE WAS ATTEMPTING TO RE ENTER TRAFFIC AFTERSHE FOUND OUT ROUTE 222 WAS CLOSED BECAUSE OF A PRIOR CRASH. IN   THE REPORT THE FEMALE WAS NOTED TO BE TRAVELLING THE SHOULDER     ATTEMPTING TO GET BACK INTO THE FLOW OF TRAFFIC IN A VERY         CONGESTED AREA AT THIS POINT. MINOR DAMAGE FROM THE LUG NUTS      CONTACTING THE 7 OCLOCK POSITION ON T,AD,Sideswipe or lane change
327,CUSTOMER WAS STANDING WAITING FOR TRANSPORTATION WHEN HE SUDDENLY FELL BACKWARD,GB,"Human Action, NOC"
328,A CUSTOMER SLIPPED AND FELL USING THE PORTABLE TOILET. CUSTOMER   SUSTAINED INJURIES.,GB,Alleged Negligent Act
329,INJURIES  IVD WAS MAKING A LEFT TURN AND SIDESWIPED OV ON THE     CROSS STREET  *** LOR REC'D FOR OVD; PLEASE SEE CORRESPONDING AP &AD FILES ***,AB,Our vehicle turning left
330,"SOMEONE BROKE IN TO THE PARISH GATED GARDEN AREA AND STOLE A      TRAILER VALUED ON $7,000.00. WE DID NOT NOTICED UNTIL THE         FOLLOWING MORNING. POLICE WAS CALLED AND REPORT MADE. REPORT      #02185",AD,Theft
331,OUR DRIVER WAS MAKING A RIGHT TURN ONTO TESSON FERRY              FROM BAPTIST CHURCH RD. WAS LOOKING TO SEE IF IT WAS CLEAR TO TURNAND HIT THE CAR IN FRONT OF HER. NO INJURIES,AD,Struck vehicle in rear
332,ROOF LEAK (CARGO DAMAGE),AD,Other - comprehensive
333,"MBR CLAIMS THAT WHILE WALKING BY THE D19 CASE, HER FOOT GOT       CAUGHT ON A SNAGGED PIECE OF THE DIAMOND PLATE AND SHE FELL.",GB,Object on floor
334,"CK INJ | PASSENGER WAS DROPPED OFF AT ABOVE LOCATION. AS SHE WAS  APPROACHING THE DOOR TO HER RESIDENCE, SHE FELL DOWN. NO MEDICAL  ATTENTION REQUESTED.",AB,Non-contact accident
335,"CLAIMANT ALLEGES THAT WHEN SHE ENTERED THE STORE, SHE SLIPPED AND FELL. HER SHOES WERE WET DUE TO THE RAIN. CLAIMANT REPORTED THAT  HER LEG BENT, AND SHE STRUCK HER HEAD AND LEG ON THE FLOOR. NATUREOF THE INJURY IS UNKNOWN.",GB,Alleged improper maintenance - other
336,CUSTOMER DROPPED A PRODUCT AND SAID THE LID WASN'T ON TIGHT ENOUGHSO PRODUCT FELL ON NEW BOOTS,GD,Alleged Negligent Act
337,FIRE PUMP LOSS.,RB,Not Otherwise Classified
338,A TENANT   S EMPLOYEE CLAIMS HEARING LOSS DUE TO EXCESSIVELY LOUD NOISE FROM   CUTTING/GRINDING ACTIVITIES.,GB,Not Otherwise Classified
339,"MINOR BOY'S SISTER WAS CARRYING HIM AND WHEN SHE PUT HIM DOWN, HE STRUCK THE RIGHT SIDE OF HIS HEAD ON THE FRONT TABLE.",GB,"Furniture, fixture"
340,"THE IV WAS TRAVELING ON THE STREET, WHEN OV1 SUDDENLY SLAMMED ON  BREAKS, CAUSING THE IV TO SWERVE AND STRIKE OV2. THE IV INCURRED  FRONT END DAMAGE, WHILE THE OV2 INCURRED REAR P/S DAMAGE. THERE   WERE NO INJURIES REPORTED.",AP,Struck vehicle in rear
341,EVENT36521: SP VEHICLE SPINNING THE TIRES OUT ON THE DRIVEWAY AND DAMAGED THE DRIVEWAY. MAHIKER@AOL.COM JENNIFER WATSON,AD,Damage to landscaping
342,HAIL DAMAGE,AP,Hail
343,"ON OR ABOUT 1/3/2023 AROUND 12:45 AM, DURING A ROUTINE INSPECTION FROM USGI SECURITY, THEY DISCOVERED LIGHTS ON IN VACANT  UNIT #928",GD,Door - Dock
344,"WHEN BRINGING IN THE SECOND MACHINE, ONE OF THE GENTLEMAN         REPEATEDLY PUSHED THE FRONT DOOR OPEN WITH FORCE, CAUSING THE     DOORKNOB TO HIT THE WALL. CAUSED SMALL HOLE ON WALL AND NICKS ON  DOOR FRAME.",GD,Alleged Negligent Act
345,OV REAR ENDED IV,AB,Struck vehicle in rear
346,"CLIENT VEHICLE EXITED FREEWAY.  AT BOTTOM OF RAMP DIDN'T REALIZE  THE TRAFFIC HAD STOPPED AND COULDN'T STOP IN TIME.  STRUCK REAR OFOTHER VEHICLE, WHICH WAS STOPPED WITH TRAFFIC.",AD,Struck vehicle in rear
347,"ON JANUARY 4TH, ST. ANSELM MAINTENANCE DIRECTOR (LARRY BRAYMILLER)ARRIVED AT 4:30AM FINDING NO POWER TO HALF OF THE PARISH CENTER,  THEN WALKED OUT TO THE POWER POLE AND SAW THE BREAKER ON THE POLE HAD TRIPPED, CONTACTED AMEREN ELECTRIC AND REPORTED THE OUTAGE,   AMEREN ARRIVED AND RESTORED POWER. DISCOVERED DAMAGE TO ELECTRICALPANELS, THERMOSTATS, AND THE ALARM SYSTEM IS DRAINING BACK-UP     BATTERIES.",RB,Equipment Malfunction
348,IV DRIVER FELL ASLEEP AND REAR-ENDED OV THAT WAS STOPPED. DAMAGE  TO BOTH VEHICLES,AP,Struck vehicle in rear
349,SP VEHICLE RAN THROUGH A RED LIGHT ON AN INTERSECTION AND STRUCK THE CLAIMANT'S VEHICLE. BOTH VEHICLES WERE TOWED.  CLAIMANT WAS TAKEN AT THE HOSPITAL.,AD,Intersection accident
350,RESIDENT WAS FOUND DECEASED OUTSIDE OF A PROPERTY LOCATED OFF BLANTON ROAD BY A PLUMBER AFTER WINTER STORM ELLIOTT.,GB,Not Otherwise Classified
351,SLIP AND FALL,GB,Alleged Negligent Act
352,THE IV WAS AT THE PARKING LOT WHEN IT STRUCK A POLE. THE IV       INCURRED DAMAGE TO THE REAR P/S DOOR. NO INJURIES WERE REPORTED.,AP,Our vehicle struck in rear
353,TRIP AND FALL ON SEWER CAP.,GB,"Walk, path, sidewalk"
354,"A CUSTOMER WAS IN THE PARKING LOT BACKING UP, WHEN HE STRUCK ONE  OF THE GASOLINE DISPENSERS CAUSING A BENT FRAME. CUSTOMER DROVE   OFF.",RB,Not Otherwise Classified
355,"IV DRIVER WAS PARKED WITH THE PARKING BREAK ON, SERVICING A       CUSTOMER'S CAN, WHEN OV DRIVER REAR ENDED IV. NO INJURIES         OCCURRED. IV'S REAR BUMPER WAS DESTROYED; OV'S FRONT END WAS      SMASHED AND TOTALED.",AP,Sideswipe or lane change
356,"UPON CHECK OUT, GUEST STATED HE WAS BITTEN BY BED BUGS ON HIS ARMS.",GB,"Animal, Insect"
357,"ON 12/29/2022 APPROXIMATELY 8:45PM, THE GUEST CAME TO THE FRONT DESK TO INFORM THEM THAT THE BATHROOM CLOSET MIRROR FELL AND HIT THE",GB,Stationary object
358,EE REAR ENDED OV WHICH IN TURN STRUCK OV IN FRONT OF THEM.,AD,Struck vehicle in rear
359,OV WAS PULLING OUT DRIVE WAY AND HIT IV,AD,Sideswipe or lane change
360,SMALL PD: CUSTOMER ALLEGES THAT THE IV CAUSED DAMAGE TO A WATER   LINE AS THE IV WAS IN THE PROCESS OF SERVICING.,AL,Struck animal or object
361,DRIVER HIT PARKED TPV CAUSES DAMAGE.                              BUS REG:   BK63YWP    TP REG:   BJ72NHZ,AD,Struck parked vehicle
362,"THE IV BACKED INTO THE OV THAT WAS PARKED AND UNOCCUPIED IN THE   PARKING LOT. THE OV REAR BRAKE LIGHT, BUMPER AND QUARTER PANEL    WERE DAMAGED. THERE WERE NO INJURIES REPORTED.",AD,Struck parked vehicle
363,"OV DRIVER WAS STOPPED AT AN INTERSECTION.IV DRIVER WAS ALSO       STOPPED BUT STARTED TOO QUICKLY AND REAR ENDED OV.OV INCURRED     DAMAGE TO THE REAR BUMPER, BRACE BEHIND IT AND DAMAGE WHERE THE   BUMPER CONNECTS TO THE OV.THE HOOKS OF THE IV STRUCK THE OV       REAR.NO INJURIES.",AD,Struck vehicle in rear
364,NO INJURIES BUS SCRAPPED PARKED VEHICLE IN TEACHERS PARKING LOT ATTHE SCHOOL WHILE MAKING A LOOP IN PARKING LOT,AD,Struck parked vehicle
365,UPS TRACTOR-TRAILER WAS STOPPED IN TRAFFIC WHEN OTHER PARTY STRUCKUS IN THE REAR OF THE TRAILER.,AD,Struck vehicle in rear
366,**ECOMM (QC) MTH AGENTS DAMAGED THE STAIRS WALL AND BROKE A CLOSETDOOR. THE ITEM DID NOT FIT AND WAS REFUSED,PB,e-Commerce
367,THE IV DRIVER CHANGED LANES AND WENT INTO THE RIGHT LANE AND      STRUCK OV. OV INCURRED DAMAGE TO THE FRONT AND BACK ON THE D/S.   THERE WERE NOINJURIES REPORTED.,AD,Sideswipe or lane change
368,IV DRIVER REPORTED THE VEHICLE CAUGHT ON FIRE RESULTING IN DAMAGE SIX VEHICLES THAT WERE PARKED AND UNOCCUPIED.                     NO INJURES WERE REPORTED.,AD,Fire - Auto
369,ROCK FROM ROAD - NO ONE AT FAULTD,AP,Windshield
370,"THE CUSTOMER CALLED IN ABOUT THE REACTION TO THE NATURAL BEAUTY   FRAGRANCE MIST, JASMINE & ELDERBERRY. SHE SAID SHE USED IT FOR    THREE DAYS BEFORE SHE REALIZE THAT IT WAS CAUSING HER TO BE       EXTREMELY ITCHY. SHE SAID SHE WENT TO HER DOCTOR. SHE SAID HER    DOCTOR DID NOT DO ANY TEST BUT TOLD HER THAT SHE WAS SENSITIVE TO THE JASMINE & ELDERBERRY SCENT. SHE SAID SHE WAS USING AN ANTI    ITCH CREAM TO HELP WITH THE ITCHINESS. SHE SAID THE ITCHINESS WAS SO BAD THAT SHE HAD TROUBLE SLEEPING.",PA,Alleged Negligent Act
371,THE IV WAS SERVICING A CUSTOMER WHEN THE TOTERFELL BACKWARDS AND  DAMAGED THE CUSTOMER'S PLANTS. NO INJURIES WERE REPORTED.,AL,Damage to landscaping
372,THE CUSTOMER DROVER OVER THE PARKING BUMP IN THE PARKING LOT.     WHILE BACKING THE METAL STRUCK THE UNDER PLASTIC COVE OF HIS VEH.,GD,Car stop
373,ANOTHER MEMBER PUSHED A FLATBED BEHIND MEMBER AND SHE DID NOT SEE HIM.  THE MEMBER TRIPPED OVER THIS FLATBED,GB,Cart
374,"IV DRIVER STATES IV WAS INVOLVED IN A HIT AND RUN WHILE IV WAS    STATIONARY ON THE SIDE OF THE HIGHWAY. IV HAS DAMAGE TO MAJOR     FRONT END, UNDER CARRIAGE, RIGHT FRONT WHEEL AND TIRE, AND MIRROR ON D/S. THERE IS NO INFORMATION ON THE OV THAT WAS INVOLVED OR THEOV DRIVER. NO INJURIES REPORTED.",AP,Our vehicle struck while parked
375,"""CUSTOMER WAS IN THE DAIRY RUN WHEN A TM NAMED STEFAN CALLED HIM A""""BITCH FAGGOT"""" AND SAID HE WOULD """"DROP HIM RIGHT NOW"""".""",PI,Assault
376,SMALL PD THE CUSTOMER IS ALLEGING THE IV TOOK DOWN AN OVERHEAD    WIRE. THE WIRE WAS PULLED DOWN. THERE WERE NO INJURIES REPORTED.,AL,Struck/pulled down wires
377,"SMALL PD. THE IV ALLEGEDLY STRUCK AN ENCLOSURE WALL, KNOCKING DOWNTHE WALL DURING SERVICE.",AL,Struck animal or object
378,"(X-REF: 10606944-ADDITIONAL CLAIM)--MAIN FIRELINE ON 35TH FLOOR UNCOUPLED, CAUSING WATER DAMAGE TO APPX 380 TENANTS DISPLACED, PERSO",GD,Water
379,THE PEDESTRIAN WAS WALKING ACROSS THE CROSSWALK WHEN THE IV STRUCKTHE PEDESTRIAN. THE PEDESTRIAN SUSTAINED INJURIES. THE IV LEFT THESCENE.,AB,Vehicle - passenger
